Title,Artist.s.,Year,Rank,lyrics_url,lyrics,phrase_repetition,title_repetition_count
TSOP (The Sound of Philadelphia),MFSB,1974,7,https://www.songlyrics.com/mfsb/tsop-the-sound-of-philadelphia-lyrics/,"People all over the world
People all over the world
People all over the world
People all over the world
People all over the world
People all over the world
People all over the world
People all over the world
Let's get it on
It's time to get down
Let's get it on
It's time to get down
Let's get it on
It's time to get down
Let's get it on
It's time to get down",all over; over the; people all; the world; world people; get down; get it; it on; it's time; let's get,0
The Streak,Ray Stevens,1974,8,https://www.songlyrics.com/ray-stevens/the-streak-lyrics/,"Hello, everyone, this is your action news reporter with all the news
That is news across the nation, on the scene at the supermarket. There
Seems to have been some disturbance here. Pardon me, sir, did you see
What happened?
Yeah, I did. I's standin' overe there by the tomaters, and here he
Come, running through the pole beans, through the fruits and vegetables
Nekkid as a jay bird. And I hollered over t' Ethel, I said, ""Don't
Look, Ethel!"" But it's too late, she'd already been incensed
Here he comes, look at that, look at that
There he goes, look at that, look at that
And he ain't wearin' no clothes
Oh, yes, they call him the Streak
Look at that, look at that
Fastest thing on two feet
Look at that, look at that
He's just as proud as he can be
Of his anatomy
He goin' give us a peek
Oh, yes, they call him the Streak
Look at that, look at that
He likes to show off his physique
Look at that, look at that
If there's an audience to be found
He'll be streakin' around
Invitin' public critique
This is your action news reporter once again, and we're here at the gas
Station. Pardon me, sir, did you see what happened?
Yeah, I did. I's just in here gettin my car checked, he just appeared
Out of the traffic. Come streakin' around the grease rack there, didn't
Have nothin' on but a smile. I looked in there, and Ethel was gettin'
Her a cold drink. I hollered, ""Don't look, Ethel!"" But it was too
Late. She'd already been mooned. Flashed her right there in front of
The shock absorbers
Here he comes, look at that, look at that
There he goes, look at that, look at that
And he ain't wearin' no clothes
He ain't crude, look at","look at; at that; at that,; that, look; he ain't; here he; ""don't look,; action news; ain't wearin'; already been",2
Bennie and the Jets,Elton John,1974,9,https://www.songlyrics.com/elton-john/bennie-and-the-jets-lyrics/,"Hey kids, shake it loose together
The spotlight's hittin' something
That's been known to change the weather
We'll kill the fatted calf tonight
So stick around
You're gonna hear electric music
Solid walls of sound
Say, Candy and Ronnie, have you seen them yet, woo
But they're so spaced out, Be-Be-Bennie and the Jets
Oh but they're weird and wonderful
Oh Bennie she's really clean
She's got electric boots, a Mohair suit
You know I read it in a magazine, ooh ho
Be-Be-Bennie and the Jets
Hey kids, plug into the faithless
Maybe they're blinded
But Bennie makes them ageless
We shall survive, let us take ourselves along
Where we fight our parents out in the streets
To find who's right and who's wrong
Oh Candy and Ronnie, have you seen them yet
Oh but they're so spaced out, Be-Be-Bennie and the Jets
Oh but they're weird and wonderful
Oh Bennie she's really clean
She's got electric boots, a Mohair suit
You know I read it in a magazine, ooh ho
Be-Be-Bennie and the Jets
Oh Candy and Ronnie, have you seen them yet
Oh but they're so spaced out, Be-Be-Bennie and the Jets
Oh but they're weird and wonderful
Oh Bennie she's really clean
She's got electric boots, a Mohair suit
You know I read it in a magazine, ooh ho
Be-Be-Bennie and the Jets
Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie
Bennie, Bennie, Bennie, Bennie and the Jets, Jets, Jets
Bennie, Bennie, Bennie, Bennie
Bennie, Bennie, Bennie, Bennie
Bennie, Bennie, Bennie and the Jets","bennie, bennie,; and the; the jets; bennie, bennie; be-be-bennie and; bennie and; but they're; jets bennie,; oh but; jets oh",12
One Hell of a Woman,Mac Davis,1974,10,https://www.songlyrics.com/mac-davis/one-hell-of-a-woman-lyrics/,"She's a woman, she's a baby


She's a witch, she's a lady


She's a free and gentle spirit


She can be what she wants to be


If she wants to be with me tonight


That's alright


She's one hell of a woman


Young and strong and tame


But soft when she loves me


Like a gentle kitten in my hand


She makes me feel like a hell of a man


She's wild, warm and tender


She'll resist, then she'll surrender


She's a free and gentle spirit


She can be what she wants to be


And if she wants to be with me tonight


Well, that's alright


She's one hell of a woman


Young and strong and tame


But soft when she loves me


Like a gentle kitten in my hand


She makes me feel like a hell of a man


She's one hell of a woman


Young and strong and tame


But Lord when she loves me


She makes me feel like a hell of the man


She's one hell of a woman


Young and strong and tame


But Lord when she loves me


She makes me feel like a hell of the man",hell of; like a; of a; she's a; a hell; a woman; and strong; and tame; feel like; loves me,4
Until You Come Back to Me (Thats What Im Gonna Do),Aretha Franklin,1974,11,https://www.songlyrics.com/aretha-franklin/until-you-come-back-to-me-thats-what-im-gonna-do-lyrics/,"Though you don't call anymore
I sit and wait in vain
I guess I'll rap on your door
tap on your window pane
I wanna tell you, baby
changes I've been going through, missing you
'til you come back to me that's what I'm gonna do
Why did you have to decide
you had to set me free?
I'm gonna swallow my pride
and beg you to please see me
I'm gonna walk by myself
to prove that my love is true, all for you
'til you come back to me that's what I'm gonna do
Living for you, my dear
is like living in a world of constant fear
hear my plea
I've gotta make you see that our love is dying
Although your phone you ignore
somehow I must explain
I'll have to rap on your door, tap on your window pane
I'm gonna camp by your steps
until I get through to you
change your view
'til you come back to me that's what I'm gonna do
'til you come back to me that's what I'm gonna do
I'm gonna tap on your window pane, don't wanna wait in vain
I'm gonna tap on your window pane, don't wanna wait in vain",i'm gonna; on your; 'til you; back to; come back; gonna do; me that's; tap on; that's what; to me,0
Jungle Boogie,Kool & the Gang,1974,12,https://www.songlyrics.com/kool-the-gang/jungle-boogie-lyrics/,"Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Jungle boogie


Jungle boogie, get it on


Jungle boogie


Jungle boogie, get it on


Jungle boogie


Jungle boogie


Jungle boogie


Get down with the boogie


Jungle boogie


Come and shake it around


Jungle boogie


Help and get down


Jungle boogie


Boogie baby


Jungle boogie


The boogie


Jungle boogie


Jungle boogie


Help and get down


Jungle boogie


Get boogie


Jungle boogie


Let me jump in


Jungle boogie


Down with the boogie


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Get down, get down


Uh, yeah


Feel the funk you'll


Let me feel the load


Get down with the boogie


I'm gonna knock


With the jungle boogie


Get down, get down


With the boogie say, ""Ough""


Get down, say, ""Ugh""


Get down, say, ""Ugh""


'Til you feel it you'll


Get down you'll


Get down


Get funky ya'll


With the get down","get down; get down,; down, get; down get; jungle boogie; boogie jungle; with the; the boogie; boogie get; down with",17
Midnight at the Oasis,Maria Muldaur,1974,13,https://www.songlyrics.com/maria-muldaur/midnight-at-the-oasis-lyrics/,"Midnight at the oasis
Send your camel to bed
Shadows paintin' our faces
Traces of romance in our heads
Heaven's holdin' a half-moon
Shinin' just for us
Let's slip off to a sand dune
Real soon and kick up a little dust
Come on, Cactus is our friend
He'll point out the way
Come on, till the evenin' ends
Till the evenin' ends
You don't have to answer
There's no need to speak
I'll be your belly dancer
Prancer and you can be my sheik
I know your daddy's a sultan
A nomad known to all
With fifty girls to attend him, they all send him
Jump at his beck and call
But you won't need no harem, honey
When I'm by your side
And you won't need no camel, no no
When I take you for a ride
Come on, Cactus is our friend
He'll point out the way
Come on, till the evenin' ends
Till the evenin' ends
Midnight at the oasis
Send your camel to bed
Shadows paintin' our faces
Traces of romance in our heads
Oh, come on
Oh come on
Oh, yeah
Oh, yeah","come on,; evenin' ends; the evenin'; till the; and you; at the; bed shadows; cactus is; camel to; come on",2
You Make Me Feel Brand New,The Stylistics,1974,14,https://www.songlyrics.com/the-stylistics/you-make-me-feel-brand-new-lyrics/,"My love
I'll never find the words my love
To tell you how I feel my love
Mere words could not explain
Precious love
You held my life within your hands
Created everything I am
Taught me how to live again
Only you
Came when I needed a friend
Believed in me through thick and thin
This song is for you, filled with gratitude and love
God bless you
You make me feel brand new
For God bless me with you
You make me feel brand new
I sing this song 'cause you
Make me feel brand new
My love
Whenever I was insecure
You built me up and made me sure
You gave my pride back to me
Precious friend
With you I'll always have a friend
You're someone who I can depend
To walk a path that sometimes bends
Without you
Life has no meaning or rhyme
Like notes to a song out of time
How can I repay you for having faith in me
God bless you
You make me feel brand new
For God bless me with you
You make me feel brand new
I sing this song for you
You",brand new; feel brand; make me; me feel; you make; you you; god bless; my love; this song; with you,4
Show and Tell,Al Wilson,1974,15,https://www.songlyrics.com/al-wilson/show-and-tell-lyrics/,"These are the eyes that never knew how to smile


Till you came into my life


And these are the arms that long to lock you inside


Every day and every night


Girl, and here is the soul of which you've taken control


Can't you see I'm tryin' to show love is right


Oh show and tell just a game I play


When I wanna say, ""I love you""


Girl, so show me and tell me


That you feel the same way too


Say you do, baby


These are the hands that can't help reaching for you


If you're anywhere in sight


And these are the lips that can't help callin' your name


In the middle of the night


Oh, and here is the man who needs to know where you stand


Don't you know I've done all I can, so decide


Oh show and tell just a game I play


When I wanna say, ""I love you""


Girl, so show me and tell me


That you feel the same way too


Say you do, say you do, baby, baby, baby


Ah, here is the soul of which you've taken control


Can't you see I'm tryin' to show love is right


Ooh, girl, show and tell just a game I play


When I wanna say, ""Oh, I love you""


Girl, so show me and tell me


That you feel the same way too


Say you do, say you do, baby


Oh show and tell just a game I play


When I wanna say, ""Oh, I love you""


Girl, so show me and tell me


That you feel the same way too","and tell; say you; you do,; a game; are the; feel the; game i; girl, so; i play; i wanna",4
Spiders and Snakes,Jim Stafford,1974,16,https://www.songlyrics.com/jim-stafford/spiders-and-snakes-lyrics/,"I remember when Mary Lou said
'You wanna walk me home from school'
And I said, 'Yes, I do'
She said, 'I don't have to go right home
And I'm the kind that likes to be alone
As long as you would'
I said, 'Me, too'
And so we took a stroll
Wound up down by the swimmin' hole
And she said, 'Do what you want to do'
I got silly and I found a frog
In the water by a hollow log
And I shook it at her
And I said 'This frog's for you'
She said...
Chorus:
'I don't like spiders and snakes
And that ain't what it takes to love me
You fool, you fool
I don't like spiders and snakes
And that ain't what it takes to love me
Like I want to be loved by you'
Well, I think of that girl from time to time
I call her up when I got a dime
I say, ""Hello, baby'
She says, 'Ain't you cool'
I say, 'Do you remember when?
And would you like to get together again?'
She says, 'I'll see you after school'
I was shy and so for a while
Most of my love was touch and smile
Til she said, 'Come on over here'
I was nervous as you might guess
Still looking for somethin' to slip down her dress
And she said, 'Let's make it perfectly clear'
She said...","and i; she said,; 'i don't; ain't what; and she; and snakes; and so; and that; as you; don't like",2
Rock On,David Essex,1974,17,https://www.songlyrics.com/david-essex/rock-on-lyrics/,"Hey kid, rock and roll, rock on
Ooh, my soul
Hey kid, boogey too, did ya?
Hey shout, summertime blues
Jump up and down in my blue suede shoes
  (Down)
Hey kid, you rock and roll, rock on
And where do we go from here?
Which is the way that's clear?
Still lookin' for that blue jean, baby queen
Prettiest girl I ever seen
See her shake on movie screen, Jimmie Dean
(James Dean)
And where do we go from here?
Which is the way that's clear?
Still lookin' for that blue jean, baby queen
Prettiest girl I ever seen
See her shake on movie screen, Jimmie Dean
Jimmie Dean
Rock on
Rock on
Rock on
  (Hey kid, you rock and roll)
Rock on
Rock on
  (Hey kid, you rock and roll)
Rock on
Rock on
  (Hey kid, you rock and roll)
Rock on
...","rock on; rock and; kid, you; on rock; you rock; (hey kid,; and roll); hey kid,; jimmie dean; on (hey",10
Sunshine on My Shoulders,John Denver,1974,18,https://www.songlyrics.com/john-denver/sunshine-on-my-shoulders-lyrics/,"Sunshine on my shoulders makes me happy
Sunshine in my eyes can make me cry
Sunshine on the water looks so lovely
Sunshine almost always makes me high
If I had a day that I could give you
I'd give to you a day just like today
If I had a song that I could sing for you
I'd sing a song to make you feel this way
Sunshine on my shoulders makes me happy
Sunshine in my eyes can make me cry
Sunshine on the water looks so lovely
Sunshine almost always makes me high
If I had a tale that I could tell you
I'd tell a tale, sure, to make you smile
If I had a wish that I could wish for you
I'd make a wish for sunshine all the while
Sunshine on my shoulders makes me happy
Sunshine in my eyes can make me cry
Sunshine on the water looks so lovely
Sunshine almost always makes me high
Sunshine almost all the time makes me high
Sunshine almost always",makes me; sunshine on; sunshine almost; almost always; had a; i could; i had; if i; me high; that i,3
Sideshow,Blue Magic,1974,19,https://www.songlyrics.com/blue-magic/sideshow-lyrics/,"Hurry, hurry, step right up
See the side show in town for only fifty cents
Step right up hurry, hurry, before the show begins, my friends
Stand in line, get your ticket, I hope you will attend
It'll only cost you fifty cents to see
What life has done to those like you and me
See the man with the broken heart, you'll see that he is sad, he hurts so bad (so bad, so bad)
See the girl who has lost the only love she ever had
There's got to be no sadder show to see
No doubt about it, satisfaction's guaranteed
So let the sideshow begin
Hurry, hurry, step right up on in
Can't afford to pass it by
Guaranteed to make you cry
Let the sideshow begin (hurry, hurry)
Hurry, hurry, step right on in
Can't afford to pass it by
Guaranteed to make you cry
See the man who's been cryin' for a million years, so many tears (so many tears)
See the girl who's collected broken hearts for souvenirs
It's more exciting than a one man band
The saddest little show in all the land
So let the side show begin (hurry, hurry)
Hurry, hurry, step right up on in
Can't afford to pass it by
Guaranteed to make you cry
Let the sideshow begin
Hurry, hurry, step right on in
Can't afford to pass it by
Guaranteed to make you cry
So let the sideshow begin(hurry, hurry)
Hurry, hurry, step right on in
Can't afford to pass it by
Guaranteed to make you cry","hurry, hurry,; step right; hurry, step; afford to; by guaranteed; can't afford; guaranteed to; in can't; it by; let the",4
Hooked on a Feeling,Blue Swede,1974,20,https://www.songlyrics.com/blue-swede/hooked-on-a-feeling-lyrics/,"Ouga Chaka ouga
I can't stop this feeling deep inside of me
Girl, you just don't realize what you do to me
When you hold me in your arms so tight
You let me know everything's all right, aha, hah
I'm hooked on a feeling
I'm high on believing
That you're in love with me
Lips as sweet as candy
Their taste stays on my mind
Girl, you keep me thirsty
For another cup of wine
I got it bad for you girl but I don't need a cure
I'll just stay addicted, if I can endure
All the good love when we're all alone
Keep it up girl, yeah, you turn me on
I'm, I'm hooked on a feeling
I'm high on believing
That you're in love with me
All the good love when we're all alone
Keep it up girl, yeah, you turn me on
Aha, ha, I'm hooked on a feeling
I'm high on believing
That you're in love with me
I'm hooked on a feeling
I'm high on believing
That you're in love with me
I say I'm hooked on a feeling
And I'm high on believing
That you're in love with me
I'm hooked on a feeling",a feeling; hooked on; i'm hooked; on a; believing that; high on; i'm high; in love; love with; on believing,6
Love Will Keep Us Together,Captain & Tennille,1975,1,https://www.songlyrics.com/captain-tennille/love-will-keep-us-together-lyrics/,"Love, love will keep us together
Think of me babe whenever
Some sweet talkin' girl comes along, singin' a song
Don't mess around, you just gotta be strong
Just stop, 'cause I really love you
Stop, I been thinkin' of you
Look in my heart and let love keep us together
You (you, do do do) you belong to me now (do, do do do)
Ain't gonna set ya free now (do do do)
When those girls start hangin' around, talkin' me down
Hear with your heart and ya won't hear a sound
Just stop (stop, stop) cause I really love you (really love you)
Stop (stop, stop) I been thinkin' of you (been thinkin' of you)
Look in my heart and let love keep us together, whatever
Young and beautiful, but someday your looks'll be gone
When the others turn you off, who'll be turnin' you on
I will, I will, I will, I will be there to share forever
Love will keep us together
I said it before and I'll say it again
While others pretend
I need ya now and I need ya then
Just stop (stop) cause I really love you (really love you)
Stop (stop) I been thinkin' of you (been thinkin' of you)
Look in my heart and let love keep us together
Whatever (a-ba-da whatever)
I will (ever), I will (ever), I will (ever), I will (ahh)
(Synthesizer solo) (Da da da da, da da da da, da da da da)
You better stop (stop) cause I really love you (really love you)
Stop (stop) I been thinkin' of you (been thinkin' of you)
Look in my heart and let love keep us together
Whatever (a-ba-da whatever)
I will (ever), I will (ever), I will (ever), I will (ahh)
(Clapping and whistling)
(Da da da da, da da da da, da da da da)
(Sedaka is back!)
(Da da da da, da da da da, da da da da)","da da; i will; thinkin' of; (ever), i; da da,; da, da; keep us; will (ever),; heart and; us together",2
Rhinestone Cowboy,Glen Campbell,1975,2,https://www.songlyrics.com/glen-campbell/rhinestone-cowboy-lyrics/,"I've been walkin' these streets so long
Singin' the same old song
I know every crack in these dirty sidewalks of Broadway
Where hustle's the name of the game
And nice guys get washed away
Like the snow and the rain
There's been a load of compromisin'
On the road to my horizon
But I'm gonna be where the lights are shinin' on me
Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Like a rhinestone cowboy
Getting cards and letters from people I don't even know
And offers comin' over the phone
Well, I really don't mind the rain
And a smile can hide all the pain
But you're down when you're ridin' the train that's takin' the long way
And I dream of the things I'll do
With a subway token
And a dollar tucked inside my shoe
There'll be a load of compromisin'
On the road to my horizon
But I'm gonna be where the lights are shinin' on me
Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Rhinestone cowboy
Gettin' cards and letters from people I don't even know
And offers comin' over the phone
Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Like a rhinestone cowboy
Gettin' card and letters from people I don't even know",rhinestone cowboy; a rhinestone; like a; a horse; a star-spangled; and letters; cowboy riding; don't even; even know; from people,6
Philadelphia Freedom,Elton John,1975,3,https://www.songlyrics.com/elton-john/philadelphia-freedom-lyrics/,"I used to be a rolling stone you know if a cause was right
I'd leave to find the answer on the road
I used to be a heart beating for someone but the times have changed
The less I say the more my work gets done
'Cause I live and breathe this Philadelphia freedom
From the day that I was born I've waved the flag
Philadelphia freedom took me knee high to a man
Yeah, gave me peace of mind my daddy never had
Oh, Philadelphia freedom shine on me and I love you
Shine the light through the eyes of the ones left behind
Shine the light, shine the light, shine the light won't you shine the light
Philadelphia freedom I love you, yes I do
If you choose to you can live your life alone
Some people choose the city
Some others choose the good old family home
I like living easy without family ties
Till the whippoorwill of freedom zapped me right between the eyes
'Cause I live and breathe this Philadelphia freedom
From the day that I was born I've waved the flag
Philadelphia freedom took me knee high to a man
Gave me peace of mind my daddy never had
Oh, Philadelphia freedom shine on me and I love you
Shine the light through the eyes of the ones left behind
Shine the light, shine the light, shine the light, won't you shine the light?
Philadelphia freedom I love you, yes I do
Oh, Philadelphia freedom shine on me and I love you
Shine the light through the eyes of the ones left behind
Shine the light, shine the light, shine the light, won't you shine the light?
Philadelphia freedom I love, you know I love
You know I love you, yes I do
Philadelphia freedom
I love you, yes I do
Philadelphia freedom
You know that I love you, yes I do
Philadelphia freedom
Don't you know that I love you, yes I do
Philadelphia freedom
Don't you know that I love you, yes I do
Philadelphia freedom
Don't you know that I love you, yes I do","philadelphia freedom; shine the; i love; i do; love you,; the light,; yes i; you, yes; you know; light, shine",15
Before the Next Teardrop Falls,Freddy Fender,1975,4,https://www.songlyrics.com/freddy-fender/before-the-next-teardrop-falls-lyrics/,"If he brings you happiness


Then i wish you all the best


It's your happiness that matters most of all


But if he ever breaks your heart


If the teardrops ever start


I'll be there before the next teardrop falls


Si te quire de verdad


Y te da felicidad


Te deseo lo mas bueno pa'los dos


Pero si te hace llorar


A mime puedes hablar


Y estare contigo cuando treste estas


I'll be there anytime


You need me by your side


To drive away every teardrop that you cried


And if he ever leaves you blue


Just remember, I love you


And I'll be there before the next teardrop falls


And I'll be there before the next teardrop falls",be there; i'll be; before the; if he; next teardrop; teardrop falls; the next; there before; and i'll; he ever,3
My Eyes Adored You,Frankie Valli,1975,5,https://www.songlyrics.com/frankie-valli/my-eyes-adored-you-lyrics/,"My eyes adored you
Though I never laid a hand on you
My eyes adored you
Like a million miles away from me
You couldn't see how I adored you
So close, so close and yet so far
Carried your books from school
Playin' make-believe you're married to me
You were fifth-grade, I was sixth
When we came to be
Walkin' home every day over
Over Barnegat Bridge and Bay
Till we grew into the me and you
Went our separate ways
My eyes adored you
Though I never laid a hand on you
My eyes adored you
Like a million miles away from me
You couldn't see how I adored you
So close, so close and yet so far
Headed for city lights
Climbed the ladder up to fortune and fame
I worked my fingers to the bone
Made myself a name
Funny, I seemed to find
That no matter how the years unwind
Still I reminisce 'bout the girl I miss
And the love I left behind
My eyes adored you
Though I never laid a hand on you
My eyes adored you
Like a million miles away from me
You couldn't see how I adored you
So close, so close and yet so far
(My eyes adored you)
All my life I will remember
How warm and tender
  (Though I never laid a hand on you)
(My eyes adored you)
We were way back then, whoa, whoa, baby
  (Like a million miles away from me)
  (You couldn't see how I adored you)
Oh, the feeling, sad regrets
I know I won't ever forget you, my childhood friend
  (So close, so close and yet so far)
My eyes adored you
Though I never laid a hand on you
My eyes adored you
Like a million miles away from me
You couldn't see how I adored you
So close, so close and yet so far
My eyes adored you
Though I never laid a hand on you
My eyes adored you",adored you; eyes adored; my eyes; a hand; hand on; i never; laid a; never laid; a million; and yet,12
Some Kind of Wonderful,Grand Funk Railroad,1975,6,https://www.songlyrics.com/grand-funk-railroad/some-kind-of-wonderful-lyrics/,"I don't need a whole lots of money
I don't need a big fine car
I got everything that a man could want
I got more than I could ask for
And I don't have to run around
I don't have to stay out all night
'Cause I got me a sweet, a sweet loving woman
And she know just how to treat me right
Oh, my baby, she's alright
Oh, my baby's clean out of sight
Don't you know that she's?
She's some kind of wonderful
She's some kind of wonderful
Yes, she is, she is
She's some kind of wonderful
Yeah, yeah, yeah, yeah
When I hold her in my arms
You know she sets my soul on fire
Oh, when my baby kisses me
My heart becomes filled with desire
When she wraps her loving arms around me
It 'bout drives me out of my mind
Yeah, when my baby kisses me
Chills run up and down my spine
Oh, my baby, she's alright
Oh, my baby's clean out of sight
Don't you know that she is?
She's some kind of wonderful
She's some kind of wonderful
Yes, she is
She's some kind of wonderful
Yeah, yeah, yeah, yeah
Now is there anybody
Got a sweet little woman like mine?
There's got to be somebody
Got a, got a sweet little woman like mine
Yeah, now can I get a witness?
Can I get a witness?
Oh, can I get a witness?
Can I get a witness?
Can I get a witness?
Can I get a witness?
I'm talking, talking 'bout my baby
(She's some kind of wonderful)
Talking 'bout my baby
(She's some kind of wonderful)
Talking 'bout my baby
(She's some kind of wonderful)
Talking 'bout my baby, my baby, my baby
(She's some kind of wonderful)
Talking about my baby, my baby, my baby
(She's some kind of wonderful)
Yeah yeah yeah yeah, my baby, my baby
(She's some kind of wonderful)
Talking 'bout my baby, my baby, my baby
(She's some kind of wonderful)","kind of; some kind; my baby; my baby,; (she's some; baby (she's; baby, my; of wonderful); a witness?; can i",13
Shining Star,"Earth, Wind & Fire",1975,7,https://www.songlyrics.com/earth-wind-fire/shining-star-lyrics/,"Yeah, hey, hey
When you wish upon a star
Your dreams will take you very far, yeah
But when you wish upon a dream
Life ain't always what it seems, oh yeah
What you see on nights so clear, hey
In the sky so very dear, yeah?
You're a shining star
No matter who you are
Shining bright to see
What you could truly be
(What you could truly be)
Shining star come into view
To shine its watchful light on you
Give you strength to carry on, yeah
Yeah, make your body big and strong, yeah
Born a man-child of the sun, yeah
Yeah, saw my work had just begun
Yeah, found I had to stand alone, yeah
Bless it now, I've got my own
Oh yeah, oh yeah
So, if you find yourself in need
Why don't you listen to these words of heed
Be a giant or grain of sand
Words of wisdom, yes, I can
You're a shining star
No matter who you are
Shining bright to see
What you could truly be
You're a shining star
No matter who you are
Shining bright to see
What you could truly be
You're a shining star
No matter who you are
Shining bright to see
What you could truly be
Shining star for you to see
What your life can truly be
Shining star for you to see
What your life can truly be
Shining star for you to see
What your life can truly be",shining star; see what; to see; truly be; could truly; what you; you could; a shining; are shining; bright to,8
Fame,David Bowie,1975,8,https://www.songlyrics.com/david-bowie/fame-lyrics/,"Fame makes a man take things over
Fame lets him lose, hard to swallow
Fame puts you there where things are hollow
Fame
Fame, it's not your brain, it's just the flame
That burns your change to keep you insane
Fame
Fame, what you like is in the limo
Fame, what you get is no tomorrow
Fame, what you need you have to borrow
Fame
Fame, ""Nein! It's mine!"" is just his line
To bind your time, it drives you to crime
Fame
Could it be the best, could it be?
Really be, really babe?
Could it be my babe, could it, babe?
Could it, babe? Could it, babe?
Is it any wonder, I reject you first?
Fame, fame, fame
Is it any wonder you are too cool to fool?
Fame
Fame, bully for you, chilly for me
Got to get a rain check on pain
Fame
Fame, fame, fame, fame, fame
Fame, fame, fame, fame, fame
Fame, fame, fame, fame, fame
Fame, fame, fame, fame, fame
Fame, fame, fame
Fame, what's your name?
Feeling so gay
Feeling gay","fame, fame,; fame fame,; fame, fame; babe? could; could it; could it,; fame, what; it, babe?; what you; is it",42
Laughter in the Rain,Neil Sedaka,1975,9,https://www.songlyrics.com/neil-sedaka/laughter-in-the-rain-lyrics/,"Turn on the TV before you get dressed
See what the weatherman has to say
Will there be sunshine or will there be rain
Then you will always know what to wear
When it comes to your health
You must always care
Ooh, I hear laughter in the rain
Don't forget your boots and umbrella
Ooh, with your raincoat and your hat
You will always, always stay dry
Don't kick the puddles that lay in the street
You never wanna get soaking wet
If you don't remember to cover your head
Mummy and daddy will be upset
You'll cough and you'll sneeze
And a cold you'll get
Ooh, I hear laughter in the rain
Don't forget your boots and umbrella
Ooh, with your raincoat and your hat
You will always, always stay dry
You'll cough and sneeze
And a cold you'll get
Ooh, I hear laughter in the rain
Don't forget your boots and umbrella
Ooh, with your raincoat and your hat
You will always, always stay dry
Ooh, I hear laughter in the rain
Don't forget your boots and umbrella, no, no, no, no
Ooh, with your raincoat and your hat
You will always, always stay dry
Remember this
Ooh, just remember when it rains
Always bring your boots and umbrella
Ooh, with your raincoat and your hat
You will always, always stay dry","you will; always stay; always, always; and your; boots and; hat you; in the; ooh, with; raincoat and; stay dry",4
One of These Nights,Eagles,1975,10,https://www.songlyrics.com/eagles/one-of-these-nights-lyrics/,"One of these nights
One of these crazy old nights
We're gonna find out, pretty mama
What turns on your lights
The full moon is calling, the fever is high
And the wicked wind whispers and moans
You got your demons, you got desires
Well, I got a few of my own
Ooo, someone to be kind to
In between the dark and the light
Ooo, coming right behind you
Swear I'm gonna find you
One of these nights
One of these dreams
One of these lost and lonely dreams now
We're gonna find one
One that really screams
I've been searching for the daughter of the Devil himself
I've been searching for an Angel in white
I've been waiting for a woman who's a little of both
And I can feel her but she's nowhere in sight
Ooo, loneliness will blind you
In between the wrong and the right
Ooo, coming right behind you
Swear I'm gonna find you
One of these nights
(One of these nights)
Ooo, in between the dark and the light
Coming right behind you
Swear I'm gonna find you
Get ya baby one of these nights
(One of these nights)
(One of these nights)
I can feel it, I can feel it
(One of these nights)
Coming right behind you
Swear I'm gonna find you now
(One of these nights)
It gets so dark, it's so dark and all alone
(One of these nights)
One of these crazy, crazy, crazy nights
(One of these nights)
Swear I'm gonna find you
Coming right behind you
(One of these nights)
(One of these nights)
I wanna say, aah
(One of these nights)
One of these, one of these
(One of these nights)
Coming right behind you
Swear I'm gonna find you
(One of these nights)",of these; (one of; these nights); one of; gonna find; behind you; coming right; find you; i'm gonna; right behind,16
